id;creation_date;community_name;community_description;image;image_content_type;is_active;appuser_id
1;2021-05-07T04:10:47;Sleek;neural Mission redundant;../fake-data/blob/hipster.png;image/png;false;1
2;2021-05-06T20:20:11;Gloves Sleek Money;Islands;../fake-data/blob/hipster.png;image/png;true;2
3;2021-05-06T18:04:49;SQL Clothing tan;Loan program Kyrgyz;../fake-data/blob/hipster.png;image/png;true;2
4;2021-05-07T13:19:15;Accountability monitor RAM;Frozen deposit;../fake-data/blob/hipster.png;image/png;false;1
5;2021-05-07T11:16:54;monitor;Frozen Towels Rupee;../fake-data/blob/hipster.png;image/png;true;1
6;2021-05-06T17:44:59;Usability Agent fuchsia;Hill;../fake-data/blob/hipster.png;image/png;true;2
7;2021-05-07T03:17:17;GB Fish online;View global;../fake-data/blob/hipster.png;image/png;true;1
8;2021-05-06T16:45:32;Washington;auxiliary digital seize;../fake-data/blob/hipster.png;image/png;false;1
9;2021-05-07T11:32:09;complexity Liaison;drive;../fake-data/blob/hipster.png;image/png;false;2
10;2021-05-06T22:15:19;Account Hat;fault-tolerant platforms Rubber;../fake-data/blob/hipster.png;image/png;false;1
