id;creation_date;notification_date;notification_reason;notification_text;is_delivered;appuser_id
1;2021-05-07T03:32:30;2021-05-07T11:28:03;FOLLOWING;Throughway Jewelery;false;1
2;2021-05-06T20:27:00;2021-05-07T06:56:56;UNAUTHORIZE_COMMUNITY_FOLLOWER;Switzerland Granite transmitting;true;2
3;2021-05-07T05:22:40;2021-05-07T04:40:09;FOLLOWING;Rubber reboot payment;true;2
4;2021-05-06T22:03:23;2021-05-06T21:23:50;PROPOSAL_RELEASED;web-readiness calculate partnerships;false;2
5;2021-05-06T14:12:59;2021-05-07T06:12:51;UNAUTHORIZE_COMMUNITY_FOLLOWER;Table compressing Gloves;true;2
6;2021-05-06T22:01:07;2021-05-07T03:44:17;UNAUTHORIZE_COMMUNITY_FOLLOWER;Salad;true;1
7;2021-05-06T23:01:11;2021-05-07T01:41:03;FOLLOWING;FTP reintermediate;false;2
8;2021-05-07T01:27:53;2021-05-07T03:05:47;PROPOSAL_RELEASED;client-server multi-byte Specialist;true;1
9;2021-05-06T19:39:57;2021-05-07T01:08:42;PROPOSAL_RELEASED;Bacon Chair workforce;false;1
10;2021-05-06T20:20:19;2021-05-07T02:43:37;AUTHORIZE_COMMUNITY_FOLLOWER;mobile Loan;true;1
